# G_assist(x) × k_fric(y), 每格 625 次
G_assist\k_fric,0.000,0.033,0.067,0.100,0.133,0.167,0.200,0.233,0.267,0.300,0.333,0.367,0.400,0.433,0.467,0.500,0.533,0.567,0.600,0.633,0.667,0.700,0.733,0.767,0.800,0.833,0.867,0.900,0.933,0.967,1.000,1.033,1.067,1.100,1.133,1.167,1.200,1.233,1.267,1.300
0.000,0.80,0.32,0.64,0.80,0.16,0.00,0.64,0.32,1.28,0.16,1.76,0.64,1.12,1.44,1.28,0.48,1.92,0.96,2.24,1.60,2.40,3.04,2.40,3.20,4.80,4.96,4.80,7.52,6.40,10.40,11.04,11.84,14.72,17.28,20.32,19.20,20.48,21.76,25.44,26.08
0.038,0.16,1.12,0.00,0.16,0.32,0.96,1.12,1.12,1.76,1.28,0.48,0.64,1.12,0.80,1.28,1.60,2.08,1.76,1.92,2.56,3.36,1.92,3.20,3.04,4.32,6.72,5.12,6.40,6.88,10.24,11.36,11.36,13.44,14.72,18.72,19.68,18.08,22.88,25.12,28.96
0.077,0.80,0.48,0.96,0.16,0.48,1.12,0.64,0.16,0.64,0.80,1.28,0.96,1.12,1.44,1.28,0.96,0.96,1.92,1.76,1.92,1.92,3.04,3.36,5.12,5.44,5.76,7.52,7.84,6.72,10.88,11.20,13.76,12.48,16.48,16.48,19.36,18.40,22.40,26.40,25.44
0.115,0.16,0.80,0.64,0.64,1.28,0.48,0.32,0.80,0.80,1.12,0.80,0.64,0.96,1.60,1.28,0.80,1.12,2.24,2.08,2.40,2.40,2.88,3.52,5.28,5.76,5.92,5.76,8.00,9.44,9.76,12.16,12.96,15.04,15.52,16.16,18.72,20.64,20.48,24.64,24.80
0.154,0.64,0.48,0.64,0.80,0.64,0.64,0.96,0.96,0.48,0.48,0.64,1.60,0.80,2.88,0.64,0.96,1.76,2.08,2.56,2.56,2.88,4.16,3.68,4.32,5.28,6.08,5.44,7.68,9.76,8.48,11.84,10.72,13.92,16.48,14.40,17.44,18.72,20.80,24.64,25.92
0.192,1.12,0.64,1.44,0.80,0.80,1.12,1.12,1.28,1.28,1.12,0.96,1.44,2.24,0.64,1.60,1.44,2.24,1.76,2.08,2.24,3.04,3.84,4.64,4.96,5.28,5.92,7.68,8.32,8.32,9.76,14.08,12.32,16.32,18.24,16.32,18.56,20.96,23.84,22.40,24.96
0.231,0.80,1.76,1.92,1.12,0.96,1.60,0.96,0.16,1.44,1.12,1.44,2.08,1.76,1.76,1.60,2.72,3.04,2.40,4.00,3.68,4.00,4.96,6.08,4.32,5.76,6.56,6.72,7.84,7.68,10.88,12.32,13.76,11.52,16.48,16.00,19.68,21.28,22.72,22.40,21.60
0.269,1.44,0.96,1.60,1.44,0.80,1.28,1.44,1.60,1.92,1.28,1.92,2.40,1.92,1.44,1.76,3.52,3.36,3.84,2.72,4.48,4.16,6.72,5.28,6.72,7.36,5.92,8.00,8.32,8.48,11.52,12.48,13.12,16.64,16.48,16.96,19.52,22.08,21.44,23.84,23.68
0.308,0.96,0.64,0.48,1.28,0.64,2.08,3.36,1.44,1.60,2.72,3.84,2.56,1.76,1.76,1.76,3.68,4.16,3.52,3.04,4.80,5.44,5.44,6.08,5.92,6.88,8.16,7.84,11.52,10.72,13.60,15.04,14.40,16.16,18.56,17.60,18.08,17.92,23.04,23.04,25.44
